Bakar;45°18'25"N;14°32'02"E;45.307°N;14.534°E
Beli Manastir;45°46'22"N;18°36'38"E;45.773°N;18.611°E
Belišće;45°41'02"N;18°24'07"E;45.684°N;18.402°E
Benkovac;44°01'48"N;15°36'36"E;44.030°N;15.610°E
Biograd na Moru;43°56'13"N;15°26'38"E;43.937°N;15.444°E
Bjelovar;45°54'36"N;16°50'24"E;45.910°N;16.840°E
Buje;45°24'29"N;13°39'32"E;45.408°N;13.659°E
Buzet;45°24'29"N;13°57'54"E;45.408°N;13.965°E
Cres;44°57'40"N;14°24'29"E;44.961°N;14.408°E
Crikvenica;45°10'19"N;14°41'33"E;45.172°N;14.693°E
Čabar;45°35'38"N;14°38'49"E;45.594°N;14.647°E
Čakovec;46°23'24"N;16°25'12"E;46.390°N;16.420°E
Čazma;45°44'56"N;16°36'47"E;45.749°N;16.613°E
Daruvar;45°35'34"N;17°13'25"E;45.593°N;17.224°E
Delnice;45°24'00"N;14°48'00"E;45.400°N;14.800°E
Donja Stubica;45°58'48"N;15°58'23"E;45.980°N;15.973°E
Donji Miholjac;45°45'43"N;18°09'54"E;45.762°N;18.165°E
Drniš;43°51'36"N;16°09'22"E;43.860°N;16.156°E
Dubrovnik;42°39'03"N;18°06'49"E;42.651°N;18.114°E
Duga Resa;45°26'42"N;15°30'11"E;45.445°N;15.503°E
Dugo Selo;45°48'22"N;16°14'17"E;45.806°N;16.238°E
Đakovo;45°18'36"N;18°24'36"E;45.310°N;18.410°E
Đurđevac;46°02'24"N;17°04'16"E;46.040°N;17.071°E
Garešnica;45°34'26"N;16°56'28"E;45.574°N;16.941°E
Glina;45°20'17"N;16°05'27"E;45.338°N;16.091°E
Gospić;44°32'24"N;15°22'12"E;44.540°N;15.370°E
Grubišno Polje;45°42'07"N;17°10'19"E;45.702°N;17.172°E
Hrvatska Kostajnica;45°13'41"N;16°32'24"E;45.228°N;16.540°E
Hvar;43°09'14"N;16°39'11"E;43.154°N;16.653°E
Ilok;45°13'19"N;19°22'30"E;45.222°N;19.375°E
Imotski;43°27'00"N;17°13'12"E;43.450°N;17.220°E
Ivanec;46°13'44"N;16°07'37"E;46.229°N;16.127°E
Ivanić-Grad;45°42'25"N;16°23'46"E;45.707°N;16.396°E
Jastrebarsko;45°40'19"N;15°39'04"E;45.672°N;15.651°E
Karlovac;45°29'00"N;15°33'00"E;45.483°N;15.550°E
Kastav;45°22'19"N;14°20'60"E;45.372°N;14.350°E
Kaštela;43°32'60"N;16°22'59"E;43.550°N;16.383°E
Klanjec;46°03'04"N;15°44'38"E;46.051°N;15.744°E
Knin;44°02'24"N;16°12'00"E;44.040°N;16.200°E
Komiža;43°02'38"N;16°05'31"E;43.044°N;16.092°E
Koprivnica;46°09'36"N;16°49'48"E;46.160°N;16.830°E
Korčula;42°55'48"N;16°53'20"E;42.930°N;16.889°E
Kraljevica;45°16'30"N;14°34'19"E;45.275°N;14.572°E
Kutina;45°28'45"N;16°46'34"E;45.479°N;16.776°E
Kutjevo;45°25'34"N;17°52'59"E;45.426°N;17.883°E
Labin;45°05'31"N;14°07'26"E;45.092°N;14.124°E
Lepoglava;46°12'25"N;16°02'38"E;46.207°N;16.044°E
Lipik;45°24'50"N;17°09'40"E;45.414°N;17.161°E
Ludbreg;46°15'11"N;16°36'58"E;46.253°N;16.616°E
Makarska;43°17'35"N;17°01'12"E;43.293°N;17.020°E
Mali Lošinj;44°32'00"N;14°28'00"E;44.533°N;14.467°E
Metković;43°03'00"N;17°37'48"E;43.050°N;17.630°E
Mursko Središće;46°30'47"N;16°26'20"E;46.513°N;16.439°E
Našice;45°29'42"N;18°05'42"E;45.495°N;18.095°E
Nin;44°14'31"N;15°11'02"E;44.242°N;15.184°E
Nova Gradiška;45°15'29"N;17°23'02"E;45.258°N;17.384°E
Novalja;44°33'22"N;14°53'06"E;44.556°N;14.885°E
Novi Marof;46°10'01"N;16°20'06"E;46.167°N;16.335°E
Novi Vinodolski;45°07'42"N;14°47'23"E;45.128°N;14.790°E
Novigrad;45°18'58"N;13°33'43"E;45.316°N;13.562°E
Novska;45°20'24"N;16°58'44"E;45.340°N;16.979°E
Obrovac;44°12'04"N;15°40'52"E;44.201°N;15.681°E
Ogulin;45°16'12"N;15°13'48"E;45.270°N;15.230°E
Omiš;43°26'35"N;16°41'35"E;43.443°N;16.693°E
Opatija;45°20'17"N;14°18'18"E;45.338°N;14.305°E
Opuzen;43°01'01"N;17°33'50"E;43.017°N;17.564°E
Orahovica;45°31'44"N;17°52'48"E;45.529°N;17.880°E
Oroslavje;45°59'49"N;15°54'58"E;45.997°N;15.916°E
Osijek;45°33'44"N;18°42'00"E;45.562°N;18.700°E
Otok;45°08'46"N;18°53'02"E;45.146°N;18.884°E
Otočac;44°52'12"N;15°14'29"E;44.870°N;15.241°E
Ozalj;45°36'47"N;15°28'41"E;45.613°N;15.478°E
Pag;44°26'24"N;15°03'00"E;44.440°N;15.050°E
Pakrac;45°26'20"N;17°11'31"E;45.439°N;17.192°E
Pazin;45°14'24"N;13°56'24"E;45.240°N;13.940°E
Petrinja;45°26'24"N;16°17'02"E;45.440°N;16.284°E
Pleternica;45°17'10"N;17°48'07"E;45.286°N;17.802°E
Ploče;43°03'00"N;17°25'48"E;43.050°N;17.430°E
Popovača;45°34'16"N;16°37'37"E;45.571°N;16.627°E
Poreč;45°13'37"N;13°35'42"E;45.227°N;13.595°E
Požega;45°19'48"N;17°40'12"E;45.330°N;17.670°E
Pregrada;46°09'54"N;15°45'04"E;46.165°N;15.751°E
Prelog;46°20'13"N;16°36'54"E;46.337°N;16.615°E
Pula;44°51'49"N;13°50'44"E;44.864°N;13.846°E
Rab;44°45'36"N;14°46'12"E;44.760°N;14.770°E
Rijeka;45°19'38"N;14°26'44"E;45.327°N;14.446°E
Rovinj;45°04'52"N;13°38'20"E;45.081°N;13.639°E
Samobor;45°48'04"N;15°42'40"E;45.801°N;15.711°E
Senj;44°59'24"N;14°54'36"E;44.990°N;14.910°E
Sinj;43°42'00"N;16°37'48"E;43.700°N;16.630°E
Sisak;45°28'48"N;16°21'36"E;45.480°N;16.360°E
Skradin;43°49'05"N;15°55'23"E;43.818°N;15.923°E
Slatina;45°42'00"N;17°42'36"E;45.700°N;17.710°E
Slavonski Brod;45°09'36"N;18°00'36"E;45.160°N;18.010°E
Slunj;45°06'36"N;15°35'24"E;45.110°N;15.590°E
Solin;43°32'31"N;16°29'31"E;43.542°N;16.492°E
Split;43°30'29"N;16°26'40"E;43.508°N;16.444°E
Stari Grad;43°11'02"N;16°35'56"E;43.184°N;16.599°E
Supetar;43°22'59"N;16°33'22"E;43.383°N;16.556°E
Sveta Nedelja;45°47'49"N;15°46'34"E;45.797°N;15.776°E
Sveti Ivan Zelina;45°57'36"N;16°14'35"E;45.960°N;16.243°E
Šibenik;43°44'13"N;15°53'35"E;43.737°N;15.893°E
Trilj;43°37'08"N;16°43'26"E;43.619°N;16.724°E
Trogir;43°30'58"N;16°15'00"E;43.516°N;16.250°E
Umag;45°26'13"N;13°31'34"E;45.437°N;13.526°E
Valpovo;45°39'32"N;18°24'54"E;45.659°N;18.415°E
Varaždin;46°18'29"N;16°20'33"E;46.308°N;16.342°E
Varaždinske Toplice;46°12'36"N;16°25'23"E;46.210°N;16.423°E
Velika Gorica;45°42'50"N;16°04'30"E;45.714°N;16.075°E
Vinkovci;45°17'24"N;18°48'00"E;45.290°N;18.800°E
Virovitica;45°50'24"N;17°24'00"E;45.840°N;17.400°E
Vis;43°03'32"N;16°11'41"E;43.059°N;16.195°E
Vodice;43°45'40"N;15°46'44"E;43.761°N;15.779°E
Vodnjan;44°57'40"N;13°51'11"E;44.961°N;13.853°E
Vrbovec;45°53'02"N;16°25'01"E;45.884°N;16.417°E
Vrbovsko;45°22'12"N;15°04'48"E;45.370°N;15.080°E
Vrgorac;43°12'14"N;17°22'12"E;43.204°N;17.370°E
Vrlika;43°54'32"N;16°23'60"E;43.909°N;16.400°E
Vukovar;45°21'00"N;18°59'24"E;45.350°N;18.990°E
Zabok;46°01'34"N;15°54'14"E;46.026°N;15.904°E
Zadar;44°06'49"N;15°13'58"E;44.114°N;15.233°E
Zagreb;45°48'43"N;15°58'52"E;45.812°N;15.981°E
Zaprešić;45°51'25"N;15°48'18"E;45.857°N;15.805°E
Zlatar;46°05'31"N;16°04'37"E;46.092°N;16.077°E
Županja;45°04'19"N;18°41'38"E;45.072°N;18.694°E